DateTime;NrOfCard;Message;ReferenceNumber;NameOfClient;PrzeciskanieP1;MontazOslonkiP2;OetickerP3;DyszaWahliwaP4;SmarTulipP5;SmarPrzegubP6;TraceUpP7;TraceUpZapisP8;RFIDGlowicaGornaP9;RFIDPlytaSmarujacaP10;RFIDSzczekiOslonkiP11;RFIDGniazdoPrzegubuP12;PozwyjeciaOsi;PozOetickera;Przeciskanie_PozStartowa;Przeciskanie_DojazdWolny;Przeciskanie_PoczCzytSily;Przeciskanie_KoniecCzytSily;Przeciskanie_SilaMin;Przeciskanie_SilaMax;Oslonka_PozStartowa;Oslonka_PozSmarowania;Oslonka_PozNakladania;Oslonka_PozPowrotu;DyszaWahliwa_PozPionowa;DyszaWahliwa_PozPozioma;DyszaWahliwa_PozdyszywOslonce;DyszaWahliwa_PozZjazduOslonkiSmarowanie;Smarowanie_DawkaPrzegub;Smarowanie_TolDawkiPrzegub;Smarowanie_RodzajSmaruPrzegub;Smarowanie_DawkaTulip;Smarowanie_TolDawkiTulip;Smarowanie_RodzajSmaruTulip;TagRFID_GlowicaGorna;TagRFID_PlytaSmar;TagRFID_SzczekiOslonki;TagRFID_Przegub
2024-05-01 10:44:34;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 10:46:58;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 10:47:35;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 10:48:31;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 10:51:21;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 10:55:50;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:05:04;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:09:37;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:15:34;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:19:31;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:24:46;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:28:10;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 11:29:59;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:01:38;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:03:33;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:04:24;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:07:59;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:09:41;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:10:22;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:12:48;1;Event - Logowanie użytkownika;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
2024-05-01 12:13:00;1;Event - Przezbrojenie;123;xxx;True;True;False;False;False;False;False;False;True;True;True;True;8;88;80;100;120;130;1000;18500;7;77;777;7777;6;66;666;6666;5;5;2;5;5;2;2;3;4;5
