Name,Type,Byte,Bit,Length
DB666.Tag16,String,0,0,12
DB666.Tag17,String,12,0,12
DB666.Tag0,Bool,24,0,0
DB666.Tag1,Bool,24,1,0
DB666.Tag8,Bool,24,2,0
DB666.Tag9,Bool,24,3,0
DB666.Tag10,Bool,24,4,0
DB666.Tag11,Bool,24,5,0
DB666.Tag12,Bool,24,6,0
DB666.Tag13,Bool,24,7,0
DB666.Tag2,Real,25,0,2
DB666.Tag3,Real,27,0,2
DB666.Tag4,Real,29,0,2
DB666.Tag5,Real,31,0,2
DB666.Tag6,Real,33,0,2
DB666.Tag15,Real,35,0,2
DB666.Tag7,Real,37,0,2
DB666.Tag14,Real,39,0,2
DB666.Tag18,Int,41,0,2
DB666.Tag19,Int,43,0,2
DB666.Tag20,Int,45,0,2
DB666.Tag21,Int,47,0,2
DB666.Tag22,Int,49,0,2
